"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"14",2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","31",1992,37,37,3194,35.5,45,1.27,142,96,69,18,9,10,8,21.6,2,1,1,0,50,"https://fbref.com/en/players/7956236f/Emiliano-Martinez",35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7,1.03232385693327,0.441520680671938,0.868804429433206
"15",2025,"Ipswich Town","Premier League","Alex Palmer","ENG","GK","27",1996,13,13,1170,13,30,2.31,71,43,59.2,1,3,9,0,0,1,1,0,0,0,"https://fbref.com/en/players/6ea97fd5/Alex-Palmer",13,30,1,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8,13,1,11.5,0.417719638711971,2.01692689818531,0.860339898775284
"16",2025,"Manchester Utd","Premier League","André Onana","CMR","GK","28",1996,34,34,3060,34,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana",34,44,3,1,10,1,44,0.31,1,0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8,0.980020598546486,0.453915548745128,0.83440798168006
"17",2025,"Ipswich Town","Premier League","Arijanet Muric","KVX","GK","25",1998,18,18,1620,18,33,1.83,100,67,70,2,6,10,1,5.6,3,3,0,0,0,"https://fbref.com/en/players/99aa1a84/Arijanet-Muric",18,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,0.66152962627447,1.25683059644817,0.82629392975881
"18",2025,"Crystal Palace","Premier League","Dean Henderson","ENG","GK","27",1997,38,38,3420,38,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson",38,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,942,115,47.5,38.5,273,56,44.9,559,30,5.4,40,1.05,14.3,0.958172147828708,0.308067340951047,0.778239523721334
"19",2025,"Tottenham","Premier League","Guglielmo Vicario","ITA","GK","27",1996,24,24,2160,24,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario",24,37,1,0,6,2,37.4,0.36,2.4,0.1,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3,0.819321307171369,0.654766985248997,0.773776818592816
"20",2025,"Brentford","Premier League","Mark Flekken","NED","GK","31",1993,37,37,3275,36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0,"https://fbref.com/en/players/a92ab7be/Mark-Flekken",36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5,0.891147257209422,0.394977297248116,0.753819918671701
"21",2025,"Fulham","Premier League","Bernd Leno","GER","GK","32",1992,38,38,3420,38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25,"https://fbref.com/en/players/2628fd2b/Bernd-Leno",38,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3,0.808190794739364,0.38726174400386,0.691688243365185
"22",2025,"West Ham","Premier League","Alphonse Areola","FRA","GK","31",1993,26,25,2260,25.1,41,1.63,115,77,64.3,5,7,13,5,20,0,0,0,0,NA,"https://fbref.com/en/players/2f965a72/Alphonse-Areola",25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15,0.673588378485158,0.610289029208215,0.656068714118435
"23",2025,"Brighton","Premier League","Bart Verbruggen","NED","GK","21",2002,36,36,3240,36,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0,"https://fbref.com/en/players/cf134113/Bart-Verbruggen",36,58,9,1,4,2,51,0.31,-5,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9,0.631684364580361,0.473538814226142,0.587913662433416
"24",2025,"Wolves","Premier League","José Sá","POR","GK","31",1993,29,29,2609,29,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6,"https://fbref.com/en/players/903b6e8b/Jose-Sa",29,48,5,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5,0.604166047454265,0.457822185519294,0.563661755190322
"25",2025,"Leicester City","Premier League","Mads Hermansen","DEN","GK","24",2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25,"https://fbref.com/en/players/c924b17d/Mads-Hermansen",26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,0.539849507767433,0.595033095468235,0.555122933894451
"26",2025,"Southampton","Premier League","Aaron Ramsdale","ENG","GK","26",1998,30,30,2700,30,66,2.2,188,120,67.6,2,5,23,3,10,7,5,2,0,28.6,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale",30,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36,190,77.4,55.9,457,25,5.5,20,0.67,11.7,0.531044271313874,0.566771655946356,0.54093271084148
