"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"13",2025,"Venezia","Serie A","Filip Stankovic","SRB","GK","22",2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0,5,4,1,0,20,"https://fbref.com/en/players/d34d8ed2/Filip-Stankovic",15.2,23,4,0,3,1,25.2,0.26,3.2,0.21,48,161,29.8,439,51,29.4,31.6,73,43.8,34.3,249,12,4.8,13,0.86,10.8,0.99504851151071,1.48120294202449,1.12960380394717
"14",2025,"Cagliari","Serie A","Elia Caprile","ITA","GK","22",2001,18,18,1620,18,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0,"https://fbref.com/en/players/97d7afbd/Elia-Caprile",18,22,1,0,4,0,23.5,0.35,1.5,0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6,1.10841901921167,1.10169430178163,1.10655778692917
"15",2025,"Fiorentina","Serie A","David de Gea","ESP","GK","33",1990,35,35,3150,35,38,1.09,135,96,72.6,19,5,11,11,31.4,3,1,2,0,66.7,"https://fbref.com/en/players/7ba6d84e/David-de-Gea",35,38,1,0,3,1,37.7,0.26,0.7,0.02,218,490,44.5,886,129,40.1,35.8,241,56,45.1,478,13,2.7,28,0.8,14.5,1.23617480659197,0.468599715859207,1.02372936885043
"16",2025,"Juventus","Serie A","Michele Di Gregorio","ITA","GK","27",1997,33,33,2970,33,32,0.97,103,71,73.8,16,13,4,14,42.4,5,5,0,0,0,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio",33,32,5,0,6,0,28.1,0.24,-3.9,-0.12,128,333,38.4,848,126,30,31.4,146,54.1,44,469,29,6.2,30,0.91,13.1,1.18752196050825,0.493921237929797,0.995550763285895
"17",2025,"Milan","Serie A","Mike Maignan","FRA","GK","29",1995,37,37,3294,36.6,41,1.12,136,97,70.6,17,9,11,12,32.4,2,1,1,0,50,"https://fbref.com/en/players/fcb38f57/Mike-Maignan",36.6,41,1,1,3,3,36.8,0.26,-1.2,-0.03,118,306,38.6,1355,174,17.4,27.8,194,36.1,38.6,447,26,5.8,68,1.86,18.7,1.08716193766704,0.346376871377715,0.882131303426435
"18",2025,"Bologna","Serie A","Łukasz Skorupski","POL","GK","33",1991,27,27,2364,26.3,33,1.26,82,50,61,11,12,4,8,29.6,2,1,1,0,50,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski",26.3,33,1,0,1,2,28.7,0.34,-2.3,-0.09,123,329,37.4,1005,113,27.9,31.6,95,51.6,44.7,215,18,8.4,23,0.88,13,0.802999646699706,0.762949116810601,0.791914669533565
"19",2025,"Udinese","Serie A","Maduka Okoye","NGA","GK","24",1999,25,25,2250,25,40,1.6,110,73,67.3,6,4,15,4,16,5,4,0,1,0,"https://fbref.com/en/players/ab5c36dd/Maduka-Okoye",25,40,4,2,4,3,37,0.32,0,0,120,292,41.1,776,80,29.9,30.2,99,60.6,47.3,315,14,4.4,23,0.92,14.1,0.729881149818215,0.839646792920624,0.760261513093957
"20",2025,"Empoli","Serie A","Devis Vásquez","COL","GK","26",1998,32,32,2880,32,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1,50,"https://fbref.com/en/players/fac1f795/Devis-Vasquez",32,45,1,0,4,0,40.2,0.31,-4.8,-0.15,161,560,28.8,953,104,48.5,39,150,65.3,52,490,36,7.3,15,0.47,10.9,0.763780039903166,0.599141250756731,0.718212172926059
"21",2025,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","29",1995,38,38,3420,38,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone",38,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,1017,120,51.9,39.1,178,71.9,50.2,590,29,4.9,19,0.5,11,0.79843863919915,0.445867074209155,0.700855716871625
"22",2025,"Parma","Serie A","Zion Suzuki","JPN","GK","21",2002,36,36,3240,36.8,53,1.47,150,99,68,7,15,15,7,19.4,5,5,0,0,0,"https://fbref.com/en/players/51e1f4f5/Zion-Suzuki",36.8,53,5,3,5,2,51.4,0.32,0.4,0.01,204,669,30.5,1272,184,41.4,37.5,223,63.7,52.4,614,64,10.4,38,1.03,12.1,0.827100033855215,0.364461719800971,0.699053409711338
"23",2025,"Monza","Serie A","Stefano Turati","ITA","GK","22",2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50,"https://fbref.com/en/players/bf168004/Stefano-Turati",29.7,52,2,1,8,2,47.4,0.31,-2.6,-0.09,177,442,40,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,0.87,13.3,0.635960911132389,0.607874590254863,0.62818732545274
"24",2025,"Lazio","Serie A","Ivan Provedel","ITA","GK","30",1994,29,29,2610,29,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0,"https://fbref.com/en/players/277da414/Ivan-Provedel",29,42,4,0,3,2,31.5,0.32,-8.5,-0.29,146,374,39,1009,96,30.8,33.3,106,59.4,46.1,366,29,7.9,32,1.1,14.5,0.556833954444503,0.635771858533529,0.578681976600333
"25",2025,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","28",1996,36,36,3240,36,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1,33.3,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo",36,64,2,0,6,1,50.8,0.31,-12.2,-0.34,210,720,29.2,760,91,59.9,43.6,298,88.9,59.3,498,30,6,23,0.64,11.6,0.511743512626131,0.410035083656074,0.48359318313339
