"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90.x","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url","Mins_Per_90.y","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","CKR_Avg","SKR_Avg","Total_GK_Rating"
"13",2025,"Lyon","Ligue 1","Lucas Perri","BRA","GK","26",1997,33,33,2970,33,44,1.33,160,116,74.4,17,6,10,10,30.3,3,3,0,0,0,"https://fbref.com/en/players/5dbd461a/Lucas-Perri",33,44,3,1,6,0,47.8,0.29,3.8,0.12,101,310,32.6,884,183,28.1,30.5,152,40.8,37.6,415,26,6.3,29,0.88,13.5,1.12376295802815,0.455696272420337,0.938858938632471
"14",2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","23",2000,33,33,2970,33,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,0,"https://fbref.com/en/players/9d420dad/Yahia-Fofana",33,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9,20,0.61,10.7,1.1124189021291,0.468168485234905,0.934106625604344
"15",2025,"Le Havre","Ligue 1","Mathieu Gorgelin","FRA","GK","33",1990,16,16,1440,16,33,2.06,82,50,63.4,5,4,7,1,6.3,3,3,0,0,0,"https://fbref.com/en/players/4d3e9033/Mathieu-Gorgelin",16,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.5,10.5,0.58287386583696,1.82234501186128,0.925928237147736
"16",2025,"Auxerre","Ligue 1","Donovan Léon","GUF","GK","31",1992,32,32,2880,32,48,1.5,164,118,73.8,11,8,13,9,28.1,6,5,1,0,16.7,"https://fbref.com/en/players/51c83a90/Donovan-Leon",32,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53,42,195,78.5,56.4,518,28,5.4,39,1.22,14.6,1.06081605571145,0.456392686049697,0.893526901986537
"17",2025,"Le Havre","Ligue 1","Arthur Desmas","FRA","GK","30",1994,18,18,1620,18,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas",18,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9,0.532877411043018,1.74378960043832,0.868027383011314
"18",2025,"Rennes","Ligue 1","Steve Mandanda","FRA","GK","39",1985,18,17,1486,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda",16.5,23,2,0,2,2,17,0.29,-4,-0.24,61,180,33.9,426,66,33.6,32.7,73,50.7,41.6,175,7,4,21,1.27,15.7,0.573981101858711,1.41678168489571,0.807247059748497
"19",2025,"Marseille","Ligue 1","Gerónimo Rulli","ARG","GK","32",1992,34,34,3060,34,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50,"https://fbref.com/en/players/625c144a/Geronimo-Rulli",34,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1097,133,15,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3,0.896318824172363,0.470127961444766,0.778359935867153
"20",2025,"Toulouse","Ligue 1","Guillaume Restes","FRA","GK","19",2005,29,29,2543,28.3,36,1.27,92,58,62,9,7,13,8,27.6,2,1,1,0,50,"https://fbref.com/en/players/6b91b999/Guillaume-Restes",28.3,36,1,1,3,3,27.9,0.29,-5.1,-0.18,80,286,28,675,83,30.8,30.3,135,57.8,42.8,360,5,1.4,34,1.2,16.9,0.729530479380495,0.541993466838941,0.677624961336526
"21",2025,"Brest","Ligue 1","Marco Bizot","NED","GK","33",1991,32,32,2880,32,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1,"https://fbref.com/en/players/3d214e5f/Marco-Bizot",32,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42,36,216,66.2,49.2,459,33,7.2,53,1.66,16.2,0.557604675705307,0.44997460984971,0.527815386382468
"22",2025,"Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","33",1991,30,30,2700,30,68,2.27,173,107,64.2,3,4,23,1,3.3,7,6,1,0,14.3,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte",30,68,6,0,5,3,57.3,0.31,-5.7,-0.2,177,449,39.4,814,115,42.5,36.2,184,56,42.4,408,20,4.9,26,0.9,14.3,0.437417292745717,0.563473035974295,0.472306345130761
"23",2025,"Saint-Étienne","Ligue 1","Gautier Larsonneur","FRA","GK","27",1997,34,34,3060,34,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,"https://fbref.com/en/players/b49729cb/Gautier-Larsonneur",34,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27,978,145,38.8,34.7,205,52.2,40.5,510,24,4.7,33,1,14,0.506422127478567,0.379437561016155,0.471276000234166
